Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,Pub_Year,Device_Weight_kg_log,Publication_Year,Publication_Month,Publication_Day,Risk_Indicator,Device_Category,Year
Patient Monitor,Pro540,Idexx Laboratories,v7.6,26-11-2024,Class IIa,Q194072,Adult (>65),Intended for wound debridement delivery in palliative care settings for terminal patients.,Contraindicated in patients with coagulopathy or unable to follow instructions.,Dry Heat,6,13,6,1.29,39,2024,0.828551818,2024,11,26,19,Very Low,2024
Surgical Robot,RIC429,Richard Wolf,Version 6,11-06-2015,Class III,IDE557917,Neonatal,Indicated for emergency temperature stabilization in trauma center resuscitation rooms.,Not recommended in presence of malignant hyperthermia or at infected areas locations.,Chemical Sterilization,17,15,11,5.4,27,2015,1.85629799,2015,6,11,32,Very Low,2015
X-Ray Machine,Model 8238,Smith & Nephew,v13.9,8-07-2016,Class III,HC-165883,Adult (>65),Intended for specimen collection verification in quality assurance and device validation protocols.,Not recommended for use in chemotherapy patients or those with severe osteoporosis.,Not Applicable,3,13,14,17.65,16,2016,2.925846146,2016,7,8,16,Low,2016
CPAP Machine,Pro173,Synthes,Rev. 2.4,13-01-2025,Class III,HDE616946,Neonatal,Designed for blood transfusion facilitation in telemedicine and remote patient monitoring.,Do not use during local anesthesia administration or in sedated.,Dry Heat,2,6,11,10.22,29,2025,2.4176979,2025,1,13,8,Low,2025
Wound Care System,THE752,Thermo Fisher Scientific,Rev. 9.5,14-08-2019,Class I,IVDR-525663,All,Designed for life support in patients with cancer under medical supervision.,Contraindicated in patients with stroke or severe severe cardiac arrhythmias.,Autoclave,10,8,8,4.04,31,2019,1.617406082,2019,8,14,18,Very Low,2019
Nebulizer,Model 7289,Nipro Corporation,Version 2,22-02-2015,Class I,Q864881,Adult (>65),Used for long-term electrotherapy delivery in ambulatory care settings for critical illness patients.,Do not use in patients with thrombocytopenia. Contraindicated in hyperbaric chambers.,Not Applicable,9,4,5,2.44,28,2015,1.235471471,2015,2,22,13,Very Low,2015
Defibrillator,Model 9751,Convatec,Version 14,16-04-2017,Class II,IVDR-559587,Adult (18-65),Indicated for hemoglobin levels analysis in laboratory diagnostic testing environments.,Do not use if malformations is present or wound is infected.,Dry Heat,17,20,11,3.22,38,2017,1.439835128,2017,4,16,37,Very Low,2017
Insulin Pump,MED376,Medtronic,Rev. 1.1,15-05-2025,Class II,HC-999026,Adult and Pediatric,Designed for diagnostic assessment in patients with cardiac disorders under medical supervision.,Avoid use in patients with severe cardiac arrhythmias or uncontrolled pulmonary edema.,Hydrogen Peroxide Plasma,5,20,5,7.17,39,2025,2.100468909,2025,5,15,25,Very Low,2025
Catheter,NIP108,Nipro Corporation,2023-08-N,7-06-2016,Class III,CE8527,Pediatric,Intended for symptom relief therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with bleeding disorders or on alcohol-based solutions.,Gamma Irradiation,4,5,7,2.67,19,2016,1.300191662,2016,6,7,9,Very Low,2016
Dialysis Machine,Pro548,Stryker,v7.1,15-04-2016,Class I,P697097,Adult,Indicated for real-time blood gas analysis assessment in emergency department triage protocols.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,10,12,20,130.25,23,2016,4.877103901,2016,4,15,22,Very Heavy,2016
Orthopedic Implant,Z-2418,Align Technology,2022-07-N,11-02-2018,Class I,P570208,Pediatric (2-18),Indicated for continuous pulmonary function monitoring during orthopedic surgical procedures.,Contraindicated in presence of corticosteroids or during radiofrequency ablation.,Steam Sterilization,8,11,7,0.07,38,2018,0.067658648,2018,2,11,19,Very Low,2018
Catheter,A-2794,Philips Healthcare,Version 15,31-07-2021,Class IIa,IDE235736,Adult (>65),Designed for wound debridement support in neonatal intensive care environments.,Do not use if battery depletion is detected or quality control has expired.,Not Applicable,8,9,4,16.46,12,2021,2.85991255,2021,7,31,17,Low,2021
Syringe Pump,Max753,Beckman Coulter,Rev. 7.0,10-04-2017,Class I,TGA-843330,Adult,Intended for emergency resuscitation therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with peripheral vascular disease or frostbite risk.,Ethylene Oxide (EtO),13,15,5,2.95,38,2017,1.373715579,2017,4,10,28,Very Low,2017
Ultrasound Scanner,ZIM781,Zimmer Biomet,v12.5,10-02-2024,Class II,IVDR-414833,Adult (18-65),Used for post-operative wound irrigation management in hospital recovery units.,Not recommended for patients with epilepsy or severe thrombocytopenia.,Single-Use Sterile,10,13,11,16.5,26.7,2024,2.862200881,2024,2,10,23,Low,2024
Surgical Robot,BOS201,Boston Scientific,2025-11-R,12-07-2021,Class IIb,IVDR-704006,Adult,Used for phototherapy guidance in oncology treatment centers for cancer patients.,Avoid use in patients with active pulmonary edema or compromised respiratory function.,Steam Sterilization,9,21,6,16.77,14,2021,2.877511642,2021,7,12,30,Low,2021
X-Ray Machine,Plus867,B. Braun,Version 15,3-08-2015,Class I,CE7207,Pediatric,Indicated for continuous temperature monitoring during cardiac surgical procedures.,Avoid use in patients with severe hypertension or altered cognitive function.,Hydrogen Peroxide Plasma,2,13,6,0.69,26,2015,0.524728529,2015,8,3,15,Very Low,2015
Pacemaker,COO646,Cook Medical,Version 18,31-03-2021,Class I,HC-169359,Pediatric,Used for long-term phototherapy delivery in ambulatory care settings for cardiac disorders patients.,Do not use in patients with severe hypertension or severe malignant hyperthermia.,Gamma Irradiation,3,8,19,0.09,40,2021,0.086177696,2021,3,31,11,Very Low,2021
Electrosurgical Unit,A-7110,Hologic,2022-11-Z,3-10-2024,Class III,IVDR-365417,Pediatric (2-18),Designed for tissue regeneration assistance in geriatric care facilities for elderly patients.,Do not use if malformations is present or incision is infected.,Gamma Irradiation,20,14,7,15.51,37,2024,2.803966258,2024,10,3,34,Low,2024
ECG Machine,Model 3099,Zimmer Biomet,v5.7,4-01-2017,Class IIb,D800529,Pediatric,Indicated for routine monitoring screening in outpatient clinical facilities.,Not recommended in presence of active infections or at open wounds locations.,Single-Use Sterile,6,3,3,15.51,32,2017,2.803966258,2017,1,4,9,Low,2017
Blood Glucose Monitor,X-5688,Intuitive Surgical,v15.3,10-04-2015,Class III,BLA949514,Adult and Pediatric,Indicated for emergency pH levels stabilization in trauma center resuscitation rooms.,Avoid use in patients with hepatic dysfunction or severe malignant hyperthermia.,Not Applicable,7,19,3,0.25,29,2015,0.223143551,2015,4,10,26,Very Low,2015
Ventilator,Model 1708,Sartorius,2022-02-K,22-09-2018,Class II,IDE580732,Neonatal,Used for fluid resuscitation administration in pediatric hospital units under specialist supervision.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,19,25,11,27.21,26.7,2018,3.339676525,2018,9,22,44,Medium,2018
Pacemaker,Model 8846,Aesculap,v11.5,17-06-2024,Class IIa,D684197,All,Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Not recommended for patients with sepsis or severe skin allergies.,Hydrogen Peroxide Plasma,8,15,11,0.04,41,2024,0.039220713,2024,6,17,23,Very Low,2024
CPAP Machine,Model 7163,Align Technology,v3.6,29-03-2019,Class II,UKCA73059,Geriatric,Used for phototherapy guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,3,6,3,0.77,32,2019,0.570979547,2019,3,29,9,Very Low,2019
Defibrillator,Model 6603,Abbott,v3.6,16-10-2021,Class I,IDE288012,All,Indicated for emergency pulmonary function stabilization in trauma center resuscitation rooms.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,8,26,7,18.32,19,2021,2.961140829,2021,10,16,34,Low,2021
Surgical Robot,C-5134,Baxter International,Rev. 3.3,17-10-2024,Class I,NDA997899,Pediatric (2-18),Designed for perioperative temperature management during cardiac interventions.,Not suitable for use in emergency situations with radiation or during unsupervised use.,Single-Use Sterile,9,12,7,8.16,35,2024,2.214846179,2024,10,17,21,Very Low,2024
Syringe Pump,Model 1192,Roche,v11.1,9-03-2021,Class IIa,Q647996,Adult (18-65),Used for therapeutic electrotherapy in psychiatric patients requiring intubation.,Do not use in patients with skin allergies or severe pacemakers.,UV Sterilization,12,14,5,2.37,26,2021,1.214912744,2021,3,9,26,Very Low,2021
ECG Machine,C-9177,Boston Scientific,2023-04-G,8-05-2015,Class III,BLA767641,Adult,Used for phototherapy guidance in oncology treatment centers for cancer patients.,Do not use in patients with severe osteoporosis or severe peripheral vascular disease.,Ethylene Oxide (EtO),5,13,12,12.31,38,2015,2.588515632,2015,5,8,18,Low,2015
Ventilator,TER227,Terumo,Version 5,1-03-2023,Class II,UKCA40028,All,Used for long-term phototherapy delivery in ambulatory care settings for respiratory conditions patients.,Contraindicated in presence of flammable anesthetics or during shock wave therapy.,Not Applicable,23,13,20,90.64,22,2023,4.517867858,2023,3,1,36,Very Heavy,2023
Pulse Oximeter,Model 5560,Abbott,2022-06-D,7-01-2022,Class III,CE5653,Infant (0-2),Intended for patient rehabilitation evaluation in rehabilitation medicine for neurological disorders recovery.,Contraindicated in patients with severe stroke or uncontrolled peripheral vascular disease.,Hydrogen Peroxide Plasma,3,15,5,0.16,25,2022,0.148420005,2022,1,7,18,Very Low,2022
Blood Glucose Monitor,Z-5993,Dentsply Sirona,Version 5,30-10-2020,Class II,UKCA36048,Neonatal,Intended for patient positioning support in cardiac catheterization laboratory environments.,Contraindicated in patients with immunodeficiency or on iodine compounds.,Not Applicable,15,13,5,0.12,22,2020,0.113328685,2020,10,30,28,Very Low,2020
ECG Machine,COO619,Cooper Companies,Version 15,12-03-2022,Class II,NMPA-303577,Pediatric (2-18),Indicated for vital signs surveillance in infection control protocols.,Not suitable for use in hyperbaric chambers with explosion or during patient transport.,Hydrogen Peroxide Plasma,3,4,6,7.13,38,2022,2.095560924,2022,3,12,7,Very Low,2022
CPAP Machine,OLY600,Convatec,Version 3,21-05-2020,Class IIb,IDE138143,Adult and Pediatric,Intended for alarm management verification in quality assurance and device validation protocols.,Avoid use in patients with active bleeding disorders or compromised respiratory function.,Pre-Sterilized,7,4,13,19.37,20,2020,3.01406323,2020,5,21,11,Low,2020
Pacemaker,Plus466,Biomérieux,Rev. 3.0,19-05-2022,Class I,TGA-465605,Adult,Designed for cardiac therapy optimization in chronic disease management programs.,Avoid use if patient has thrombocytopenia or is receiving iodine compounds.,Chemical Sterilization,9,11,19,0.12,42,2022,0.113328685,2022,5,19,20,Very Low,2022
Pulse Oximeter,BEC988,Beckman Coulter,Version 4,1-12-2016,Class I,NMPA-328658,Pediatric,Used for post-operative phototherapy management in hospital recovery units.,"Not recommended during pregnancy, lactation, or in psychiatric under 15 years.",Steam Sterilization,6,10,3,0.43,27,2016,0.357674444,2016,12,1,16,Very Low,2016
Pacemaker,HOY171,Hoya Corporation,v14.1,9-12-2020,Class II,IVDR-288364,Geriatric,Designed for medication administration support in neonatal intensive care environments.,Contraindicated in patients with immunodeficiency or unable to remain still.,Hydrogen Peroxide Plasma,4,7,6,0.19,38,2020,0.173953307,2020,12,9,11,Very Low,2020
Infusion Pump,Plus404,Abbott,Version 15,24-02-2018,Class IIa,HDE344202,Adult (>65),Designed for therapeutic delivery assistance in geriatric care facilities for elderly patients.,Do not use if structural defects is present or wound is infected.,Steam Sterilization,5,11,11,1.58,36,2018,0.947789399,2018,2,24,16,Very Low,2018
X-Ray Machine,B-1823,Getinge,Version 6,3-02-2020,Class II,BLA338577,Pediatric,Indicated for diagnostic calibration to assess renal failure in clinical environments.,Avoid use in patients with metal implants or altered cognitive function.,Steam Sterilization,8,5,10,3.11,40,2020,1.413423029,2020,2,3,13,Very Low,2020
Blood Glucose Monitor,MIN536,Mindray,Rev. 9.2,22-10-2017,Class I,P521547,Adult,Intended for assessment guidance during minimally invasive emergency procedures.,Contraindicated in patients with severe severe diabetes or uncontrolled peripheral vascular disease.,Hydrogen Peroxide Plasma,15,9,7,0.39,32,2017,0.329303747,2017,10,22,24,Very Low,2017
Blood Glucose Monitor,Plus676,Edwards Lifesciences,Rev. 8.2,3-01-2023,Class III,BLA641087,All,Indicated for diagnostic sterilization to assess critical illness in clinical environments.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Pre-Sterilized,13,12,5,0.21,22,2023,0.19062036,2023,1,3,25,Very Low,2023
X-Ray Machine,A-2512,3M Healthcare,2023-03-X,27-02-2020,Class IIb,CE1964,Adult,Intended for life support therapy in intensive care unit environments for critically ill patients.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Single-Use Sterile,7,12,15,15.3,33,2020,2.791165108,2020,2,27,19,Low,2020
Ventilator,X-7835,Beckman Coulter,Rev. 9.1,31-12-2016,Class IIa,CE6394,Adult (>65),Indicated for central venous pressure surveillance in infection control protocols.,Avoid use in patients with active cardiomyopathy or compromised cardiovascular function.,Not Applicable,12,13,15,108.61,12,2016,4.696928611,2016,12,31,25,Very Heavy,2016
Patient Monitor,BIO828,Biomérieux,Rev. 8.2,22-08-2024,Class I,K196630,Infant (0-2),Used for intraoperative imaging monitoring during complex thoracic surgeries.,Contraindicated in presence of latex proteins or during shortwave diathermy.,Hydrogen Peroxide Plasma,7,11,7,5.07,26.7,2024,1.803358605,2024,8,22,18,Very Low,2024
ECG Machine,SAR334,Sartorius,2020-04-L,1-02-2016,Class II,CE6855,Infant (0-2),Used for long-term electrotherapy delivery in ambulatory care settings for infectious diseases patients.,Avoid use in patients with severe hypertension or severe acute myocardial infarction.,Autoclave,7,13,3,14.56,33,2016,2.744703519,2016,2,1,20,Low,2016
Orthopedic Implant,Pro815,Mölnlycke Health Care,Rev. 4.3,27-04-2017,Class IIb,Q849470,Infant (0-2),Used for intraoperative assessment monitoring during complex laparoscopic surgeries.,Not suitable for use with contrast agents or in patient transport.,Single-Use Sterile,7,11,11,0.03,40,2017,0.029558802,2017,4,27,18,Very Low,2017
Patient Monitor,A-6721,Baxter International,Rev. 6.3,17-11-2018,Class III,PMA450478,Adult,Intended for stent placement delivery in palliative care settings for terminal patients.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Hydrogen Peroxide Plasma,13,19,5,5.11,24,2018,1.809926773,2018,11,17,32,Very Low,2018
Nebulizer,Plus136,Zimmer Biomet,v6.7,30-10-2016,Class III,UKCA49007,Adult,Designed for dialysis optimization in chronic disease management programs.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Gamma Irradiation,7,3,10,3.48,25,2016,1.499623046,2016,10,30,10,Very Low,2016
CPAP Machine,Pro315,Cook Medical,v14.0,1-02-2025,Class I,P869722,Adult,Indicated for diagnostic quality control to assess sepsis in clinical environments.,Not suitable for use in emergency situations with explosion or during storage conditions.,Pre-Sterilized,5,3,14,7.68,16,2025,2.161021529,2025,2,1,8,Very Low,2025
Ultrasound Scanner,Model 816,Ge Healthcare,Version 9,17-09-2018,Class I,NMPA-824598,Adult (18-65),Intended for sterilization verification in quality assurance and device validation protocols.,Avoid use if patient has coagulopathy or history of embolism.,Ethylene Oxide (EtO),5,11,7,14.77,10,2018,2.758109401,2018,9,17,16,Low,2018
